,HourDK | HourDK | 804695,BalancingPriceUp,BalancingPriceDown
1,2023-01-01 01:00:00,1.38,1.38
2,2023-01-01 02:00:00,0.09,0.0
3,2023-01-01 03:00:00,0.08,0.0
4,2023-01-01 04:00:00,0.05,0.0
5,2023-01-01 05:00:00,0.08,0.0
6,2023-01-01 06:00:00,0.09,0.0
7,2023-01-01 07:00:00,0.53,0.0
8,2023-01-01 08:00:00,2.03,0.0
9,2023-01-01 09:00:00,3.1,0.0
10,2023-01-01 10:00:00,4.43,0.0
11,2023-01-01 11:00:00,6.06,0.0
12,2023-01-01 12:00:00,6.06,0.0
13,2023-01-01 13:00:00,5.68,0.0
14,2023-01-01 14:00:00,17.709999,0.45
15,2023-01-01 15:00:00,24.110001,9.51
16,2023-01-01 16:00:00,132.199997,36.540001
17,2023-01-01 17:00:00,150.0,46.029999
18,2023-01-01 18:00:00,150.0,55.57
19,2023-01-01 19:00:00,100.0,31.0
20,2023-01-01 20:00:00,49.23,29.0
21,2023-01-01 21:00:00,44.990002,44.990002
22,2023-01-01 22:00:00,45.959999,45.959999
23,2023-01-01 23:00:00,35.0,35.0
24,2023-01-02 00:00:00,57.91,57.91
25,2023-01-02 01:00:00,76.43,51.669998
26,2023-01-02 02:00:00,85.629997,52.860001
27,2023-01-02 03:00:00,44.16,32.27
28,2023-01-02 04:00:00,50.080002,50.080002
29,2023-01-02 05:00:00,70.730003,70.730003
30,2023-01-02 06:00:00,104.080002,43.0
31,2023-01-02 07:00:00,140.639999,77.0
32,2023-01-02 08:00:00,145.979996,145.979996
33,2023-01-02 09:00:00,147.050003,125.0
34,2023-01-02 10:00:00,145.610001,115.089996
35,2023-01-02 11:00:00,153.5,120.0
36,2023-01-02 12:00:00,175.0,144.380005
37,2023-01-02 13:00:00,160.0,143.759995
38,2023-01-02 14:00:00,148.199997,122.0
39,2023-01-02 15:00:00,155.339996,128.0
40,2023-01-02 16:00:00,162.889999,162.889999
41,2023-01-02 17:00:00,175.009995,170.0
42,2023-01-02 18:00:00,189.0,174.740005
43,2023-01-02 19:00:00,164.460007,164.460007
44,2023-01-02 20:00:00,153.0,153.0
45,2023-01-02 21:00:00,141.669998,128.0
46,2023-01-02 22:00:00,131.669998,53.790001
47,2023-01-02 23:00:00,118.059998,53.790001
48,2023-01-03 00:00:00,114.5,78.809998
49,2023-01-03 01:00:00,118.739998,73.93
50,2023-01-03 02:00:00,108.5,73.940002
51,2023-01-03 03:00:00,71.440002,71.440002
52,2023-01-03 04:00:00,103.0,72.330002
53,2023-01-03 05:00:00,77.139999,77.139999
54,2023-01-03 06:00:00,152.0,102.480003
55,2023-01-03 07:00:00,210.0,154.960007
56,2023-01-03 08:00:00,210.0,163.919998
57,2023-01-03 09:00:00,199.0,167.070007
58,2023-01-03 10:00:00,197.0,168.570007
59,2023-01-03 11:00:00,196.0,169.490005
60,2023-01-03 12:00:00,184.5,164.5
61,2023-01-03 13:00:00,180.0,160.910004
62,2023-01-03 14:00:00,201.0,163.059998
63,2023-01-03 15:00:00,200.0,167.729996
64,2023-01-03 16:00:00,197.0,166.610001
65,2023-01-03 17:00:00,250.0,170.720001
66,2023-01-03 18:00:00,250.0,168.929993
67,2023-01-03 19:00:00,160.990005,160.990005
68,2023-01-03 20:00:00,149.619995,149.619995
69,2023-01-03 21:00:00,131.050003,131.050003
70,2023-01-03 22:00:00,122.620003,114.269997
71,2023-01-03 23:00:00,122.599998,93.660004
72,2023-01-04 00:00:00,105.0,82.879997
73,2023-01-04 01:00:00,105.0,78.839996
