ts,"HourUTC | HourUTC | 804694","mFRRDownActBal | mFRRDownActBal | 804724","HourDK | HourDK | 804695","PriceArea | PriceArea | 804696","mFRRUpActSpec | mFRRUpActSpec | 804713","mFRRDownActSpec | mFRRDownActSpec | 804714","ImbalanceMWh | ImbalanceMWh | 804715","ImbalancePriceEUR | ImbalancePriceEUR | 804716","ImbalancePriceDKK | ImbalancePriceDKK | 804717","BalancingPowerPriceUpEUR | BalancingPowerPriceUpEUR | 804718","BalancingPowerPriceUpDKK | BalancingPowerPriceUpDKK | 804719","BalancingPowerPriceDownEUR | BalancingPowerPriceDownEUR | 804720","BalancingPowerPriceDownDKK | BalancingPowerPriceDownDKK | 804721","mFRRUpActBal | mFRRUpActBal | 804722"
"2021-12-31 00:00:00","2021-12-31 00:00:00",0,"2021-12-31 01:00:00",DK2,,,,"26,149399","194,460007","26,149399","194,460007","26,149399","194,460007",0
"2021-12-31 00:00:01","2021-12-31 00:00:00",0,"2021-12-31 01:00:00",DK1,,,,"26,149399","194,460007","26,149399","194,460007","26,149399","194,460007",0
"2021-12-31 01:00:00","2021-12-31 01:00:00",0,"2021-12-31 02:00:00",DK2,,,,"25,119345","186,800003","25,119345","186,800003","25,119345","186,800003",0
"2021-12-31 01:00:01","2021-12-31 01:00:00",0,"2021-12-31 02:00:00",DK1,,,,"25,119345","186,800003","25,119345","186,800003","25,119345","186,800003",0
"2021-12-31 02:00:00","2021-12-31 02:00:00","18,4","2021-12-31 03:00:00",DK2,,,,"18,000404","133,860001","24,009951","178,550003","18,000404","133,860001",0
"2021-12-31 02:00:01","2021-12-31 02:00:00","62,5","2021-12-31 03:00:00",DK1,,,,"18,000404","133,860001","24,009951","178,550003","18,000404","133,860001",0
"2021-12-31 03:00:00","2021-12-31 03:00:00","15,8","2021-12-31 04:00:00",DK2,,,,"13,49963","100,389999","24,810059","184,5","13,49963","100,389999",0
"2021-12-31 03:00:01","2021-12-31 03:00:00","81,400002","2021-12-31 04:00:00",DK1,,,,"13,49963","100,389999","24,810059","184,5","13,49963","100,389999",0
"2021-12-31 04:00:00","2021-12-31 04:00:00",20,"2021-12-31 05:00:00",DK2,,,,"13,49963","100,389999","24,429502","181,669998","13,49963","100,389999",0
"2021-12-31 04:00:01","2021-12-31 04:00:00","83,900002","2021-12-31 05:00:00",DK1,,,,"13,49963","100,389999","24,429502","181,669998","13,49963","100,389999",0
"2021-12-31 05:00:00","2021-12-31 05:00:00",34,"2021-12-31 06:00:00",DK2,,,,"24,350164","181,080002","27,179453","202,119995","24,350164","181,080002",0
"2021-12-31 05:00:01","2021-12-31 05:00:00","55,299999","2021-12-31 06:00:00",DK1,,,,"24,350164","181,080002","27,179453","202,119995","24,350164","181,080002",0
"2021-12-31 06:00:00","2021-12-31 06:00:00","16,5","2021-12-31 07:00:00",DK2,,,,"24,499428","182,190002","30,339542","225,619995","24,499428","182,190002",0
"2021-12-31 06:00:01","2021-12-31 06:00:00","61,299999","2021-12-31 07:00:00",DK1,,,,"24,499428","182,190002","30,339542","225,619995","24,499428","182,190002",0
"2021-12-31 07:00:00","2021-12-31 07:00:00",0,"2021-12-31 08:00:00",DK2,,,,"32,640354","242,729996","32,640354","242,729996","32,640354","242,729996",0
"2021-12-31 07:00:01","2021-12-31 07:00:00",0,"2021-12-31 08:00:00",DK1,,,,"32,640354","242,729996","32,640354","242,729996","32,640354","242,729996",0
