Linear Regression,Non-Linear Regression 1,Non-Linear Regression 2
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2997.847405083445,-3106.985092163086,-3449.5521340573387
-2756.0773499553857,-2793.3454513549805,-3192.23068561575
-2877.9753941477675,-3060.750961303711,-3303.0402678735486
-2880.4165282723075,-3172.3880767822266,-3237.0556070657362
-2206.922421086763,-2215.9910202026367,-2518.040840717333
-1828.2844209162304,-1533.651351928711,-2151.8280932805787
-1757.6622177423003,-1412.057876586914,-2100.7310337283648
-1915.3671978038597,-1622.5862503051758,-2313.2310291034937
-3015.139389921133,-3213.686943054199,-3421.770169687687
-2429.3254108853184,-2393.77498626709,-2759.0891454502844
-2887.897456317249,-3228.2638549804688,-3181.734066362504
-3991.1052858470425,-4485.926628112793,-4312.681463713487
-3468.139837121343,-4039.177894592285,-3829.283812880007
-3004.8949899514323,-3534.26456451416,-3367.5074646406943
-3336.625433675799,-3810.610771179199,-3687.847723338486
-3347.5296841886616,-3841.724395751953,-3688.3993888078257
-2309.9108610395683,-2620.9545135498047,-2742.5712615801144
-2523.5345904838246,-2837.376594543457,-3022.940244565619
-2226.38303861184,-2429.4090270996094,-2681.9716631629485
-2260.0591929336388,-2499.9618530273438,-2730.661829805983
-2284.8274009754446,-2501.6212463378906,-2764.2120252231985
-2158.0098505702904,-2198.166847229004,-2625.576910525867
-2634.0874119592095,-2777.1520614624023,-3146.6026425123714
-2751.3062795508263,-3019.123077392578,-3280.8197776574875
-3414.5068872808915,-3871.8223571777344,-3929.609989764534
-3067.594591060306,-3474.912643432617,-3557.5204361040533
-3335.9717333630147,-3770.8282470703125,-3865.4368711584857
-3995.9101352132,-4376.792907714844,-4574.951124928863
-3731.7831314741697,-4151.91650390625,-4269.227879506508
-3806.251188364523,-4223.227500915527,-4368.069228365571
-3574.1624433531733,-3973.2742309570312,-4135.98570741008
-3240.686683691406,-3480.391502380371,-3774.4314718562428
-3580.131157725226,-3896.5272903442383,-4168.561298685178
-3228.1825716749195,-3473.7396240234375,-3792.1619903474993
-3468.861499016585,-3788.166046142578,-4028.0048759499873
-3505.6877306274623,-3822.0691680908203,-4068.938103515034
-3479.2456722867582,-3713.96541595459,-4074.813930025964
-3515.3104854287767,-3686.957359313965,-4130.362622562121
-3422.404699952984,-3615.0598526000977,-4022.7852023440023
-3489.128813597026,-3632.526397705078,-4110.893085187844
-3465.4315189881277,-3618.2355880737305,-4097.671553066746
-3526.4110631398185,-3678.5459518432617,-4188.415221953892
-3434.5867546862737,-3585.519790649414,-4108.118798631547
-3289.3546976518637,-3430.910110473633,-3952.810058846192
-3234.9318179783954,-3360.0854873657227,-3923.6799951665907
-3190.36652509994,-3324.6517181396484,-3863.086983052221
-2573.4819482033363,-2513.8378143310547,-3219.0219872042876
-2569.363334419211,-2507.5578689575195,-3230.8585815861647
-2842.3915788424956,-2874.3839263916016,-3526.3073118062644
-2763.233109366523,-2790.670394897461,-3434.5577199016943
-2483.353639743193,-2393.6033248901367,-3134.966858859473
-2091.012449614288,-1867.9475784301758,-2744.6057686516588
-1910.7031509831036,-1612.229347229004,-2538.708767159646
-1856.8287744350478,-1548.5858917236328,-2477.8418225851374
-1894.325683330257,-1600.327491760254,-2507.1154057610256
-2329.805741222688,-2176.1512756347656,-2955.433828625692
-2073.4454220660755,-2135.2243423461914,-2611.2558859266505
-1922.5386673524822,-1546.4544296264648,-2367.824518450574
-1633.0327824506446,-1551.1894226074219,-2168.0428417541643
-1691.4357586398712,-1705.8277130126953,-2415.6421533241873
-1659.0942856028867,-1654.4580459594727,-2419.2999137473316
-1641.3762157460342,-1536.4265441894531,-2451.7723748831536
-2445.898422239371,-2602.543830871582,-3269.6762955425943
-2196.528885215813,-2282.896041870117,-3010.3405388680785
-2792.863295842019,-3079.676628112793,-3599.905417896942
-2948.2284667446456,-3291.8787002563477,-3752.7608391994027
-2639.618731101629,-2815.732955932617,-3471.946793187798
-2638.675141004035,-2717.28515625,-3492.2934890968386
-3201.0899626974656,-3451.9243240356445,-4108.634608621875
-3025.8607952531283,-3265.6288146972656,-4030.884918527012
-3010.356594323681,-3240.1657104492188,-4016.577258233514
-3182.6757059487486,-3478.0454635620117,-4224.246539955629
-4003.6498572499463,-4309.487342834473,-5027.669349004545
-3633.6432199142178,-3952.7034759521484,-4635.311389096414
-3332.703378229044,-3711.5049362182617,-4226.965475965039
-3416.8153238973932,-3783.3595275878906,-4283.108834778188
-3378.2799332462187,-3791.6994094848633,-4228.549508565928
-3102.5555962331705,-3443.6559677124023,-3953.1770655347855
-2477.753222813732,-2689.690589904785,-3286.013037638276
-2704.6608590004007,-2861.194610595703,-3546.2612844941073
-2432.0537167701555,-2515.7546997070312,-3252.289674806739
-1941.8744161467578,-1777.7538299560547,-2766.6513864320236
-1410.3978516350235,-1064.314842224121,-2205.1780860657486
-1544.7321424915713,-1375.3223419189453,-2127.687415886682
-1907.2700831181432,-1418.5094833374023,-2488.711902245817
-1784.717348458068,-1308.3457946777344,-2306.239534502041
-2024.6604711939526,-1523.4804153442383,-2593.7009501508137
-2101.61741188944,-1525.1827239990234,-2829.66238871355
-2659.975712784837,-2124.3810653686523,-3386.05580441673
-2456.7009487186333,-1908.0162048339844,-3241.8582784381824
