ts;Nordpool Elspot Prices - hourly price DK-DK2 EUR/MWh | 9F7J/00/00/Nordpool/DK2/hourly_spot_eur | 3038;Nordpool Elspot Prices - daily average price DK-DK2 DKK/MWh | 9F7J/00/00/Nordpool/DK2/daily_average_spot_dkk | 4821;Nordpool Elspot Prices - daily average price DK-DK2 EUR/MWh | 9F7J/00/00/Nordpool/DK2/daily_average_spot_eur | 4822;Nordpool Elspot Prices - hourly price DK-DK2 DKK/MWh | 9F7J/00/00/Nordpool/DK2/hourly_spot_dkk | 4820
2021-12-31 00:00:00;30,04;;;223,38
2021-12-31 01:00:00;26,15;;;194,46
2021-12-31 02:00:00;25,12;;;186,80
2021-12-31 03:00:00;24,01;;;178,54
2021-12-31 04:00:00;24,81;;;184,49
2021-12-31 05:00:00;24,43;;;181,67
2021-12-31 06:00:00;27,18;;;202,12
2021-12-31 07:00:00;30,34;;;225,61
2021-12-31 08:00:00;32,64;;;242,72
2021-12-31 09:00:00;35,22;;;261,90
2021-12-31 10:00:00;39,16;;;291,20
2021-12-31 11:00:00;45,42;324,39;43,62;337,75
2021-12-31 12:00:00;50,45;;;375,16
2021-12-31 13:00:00;51,64;;;384,01
2021-12-31 14:00:00;52,92;;;393,52
2021-12-31 15:00:00;55,36;;;411,67
2021-12-31 16:00:00;95,06;;;706,89
2021-12-31 17:00:00;105,07;;;781,32
2021-12-31 18:00:00;94,78;;;704,80
2021-12-31 19:00:00;48,01;;;357,01
2021-12-31 20:00:00;33,96;;;252,53
2021-12-31 21:00:00;33,08;;;245,99
2021-12-31 22:00:00;32,34;;;240,49
2021-12-31 23:00:00;29,76;;;221,30
2022-01-01 00:00:00;46,6;;;
2022-01-01 01:00:00;41,33;;;
2022-01-01 02:00:00;42,18;;;
2022-01-01 03:00:00;44,37;;;
2022-01-01 04:00:00;37,67;;;
2022-01-01 05:00:00;39,70;;;
2022-01-01 06:00:00;40,59;;;
2022-01-01 07:00:00;43,26;;;
2022-01-01 08:00:00;49,66;;;
2022-01-01 09:00:00;70,05;;;
2022-01-01 10:00:00;76,79;;;
2022-01-01 11:00:00;84,10;;;
2022-01-01 12:00:00;94,74;;;
2022-01-01 13:00:00;96,80;;;
2022-01-01 14:00:00;97,17;;;
2022-01-01 15:00:00;101,27;;;
2022-01-01 16:00:00;126,6;;;
2022-01-01 17:00:00;149,97;;;
2022-01-01 18:00:00;146,33;;;
2022-01-01 19:00:00;140,28;;;
2022-01-01 20:00:00;121,88;;;
2022-01-01 21:00:00;102,61;;;
2022-01-01 22:00:00;95,12;;;
2022-01-01 23:00:00;83,11;;;
2022-01-02 00:00:00;34,73;;;258,27
2022-01-02 01:00:00;34,39;;;255,74
2022-01-02 02:00:00;34,36;;;255,52
2022-01-02 03:00:00;34,10;;;253,58
2022-01-02 04:00:00;29,56;;;219,82
2022-01-02 05:00:00;33,97;;;252,62
2022-01-02 06:00:00;34,52;;;256,71
2022-01-02 07:00:00;41,80;;;310,85
2022-01-02 08:00:00;48,95;;;364,02
2022-01-02 09:00:00;60,01;;;446,26
2022-01-02 10:00:00;70,09;;;521,22
2022-01-02 11:00:00;66,26;396,40;53,31;492,74
2022-01-02 12:00:00;64,54;;;479,95
2022-01-02 13:00:00;46,96;;;349,22
2022-01-02 14:00:00;49,06;;;364,83
2022-01-02 15:00:00;74,99;;;557,66
2022-01-02 16:00:00;88,15;;;655,53
2022-01-02 17:00:00;95,40;;;709,44
2022-01-02 18:00:00;86,71;;;644,82
2022-01-02 19:00:00;71,27;;;530,00
2022-01-02 20:00:00;54,12;;;402,46
2022-01-02 21:00:00;46,16;;;343,27
2022-01-02 22:00:00;46,29;;;344,24
2022-01-02 23:00:00;32,93;;;244,88
2022-01-03 00:00:00;13,20;;;98,16
2022-01-03 01:00:00;19,92;;;148,14
2022-01-03 02:00:00;19,87;;;147,76
2022-01-03 03:00:00;13,24;;;98,46
2022-01-03 04:00:00;13,29;;;98,83
2022-01-03 05:00:00;9,24;;;68,71
2022-01-03 06:00:00;37,55;;;279,24
2022-01-03 07:00:00;88,76;;;660,06
2022-01-03 08:00:00;122,93;;;914,17
2022-01-03 09:00:00;110,17;;;819,28
2022-01-03 10:00:00;93,38;;;694,42
2022-01-03 11:00:00;90,73;533,99;71,81;674,71
2022-01-03 12:00:00;82,37;;;612,54
2022-01-03 13:00:00;80,90;;;601,61
