,ReguReg
0,-1679.0069709532784
1,-1679.0069709532784
2,-1679.0069709532784
3,-1679.0069709532784
4,-1679.0069709532784
5,-1679.0069709532784
6,-1679.0069709532784
7,-1679.0069709532784
8,-1679.0069709532784
9,-1679.0069709532784
10,-1679.0069709532784
11,-1679.0069709532784
12,-1679.0069709532784
13,-1679.0069709532784
14,-1679.0069709532784
15,-1679.0069709532784
16,-1679.0069709532784
17,-1679.0069709532784
18,-1679.0069709532784
19,-1679.0069709532784
20,-1679.0069709532784
21,-1679.0069709532784
22,-1679.0069709532784
23,-1679.0069709532784
24,-1679.0069709532784
25,-1679.0069709532784
26,-1679.0069709532784
27,-1679.0069709532784
28,-1679.0069709532784
29,-1679.0069709532784
30,-1679.0069709532784
31,-1679.0069709532784
32,-1679.0069709532784
33,-1679.0069709532784
34,-1420.5901980581682
35,-1561.1357211020318
36,-1571.969738675858
37,-849.0921643537025
38,-428.62931677132536
39,-344.3005953731463
40,-511.9171819277817
41,-1704.776861747943
42,-1073.9090782171725
43,-1582.2566418265983
44,-2781.9722897355123
45,-2232.3458807149027
46,-1752.1232638848153
47,-2121.0800906098207
48,-2130.0042835979943
49,-1001.5380191210127
50,-1216.0132071808068
51,-897.5515900180364
52,-938.5532061790971
53,-959.5566486674613
54,-807.6446998714569
55,-1307.6275480040654
56,-1442.3342538794652
57,-2156.1604652981714
58,-1784.7193948298611
59,-2070.565565209155
60,-2775.882156848027
61,-2490.8539565448827
62,-2572.3168365533024
63,-2319.4275973568356
64,-1948.2664418555723
65,-2316.7186481034237
66,-1936.4591100179687
67,-2197.938310933441
68,-2236.8378044994647
69,-2200.777134028722
70,-2231.766685469986
71,-2135.9519508025433
72,-2196.3696154967906
73,-2175.885389769508
74,-2239.150424444156
75,-2142.268085005645
76,-1989.2977525106298
77,-1927.4863919962004
78,-1885.2676817864426
79,-1223.5507424489494
80,-1218.3883695074844
81,-1510.1941257301482
82,-1419.8127393692957
83,-1122.9074721338952
84,-703.342377139073
85,-511.87464042018735
86,-453.26267164809065
87,-492.836517270274
88,-962.0806322989996
89,-727.234324391109
90,-705.8844854306645
91,-344.72391742638615
92,-369.7964310959779
93,-323.75442055644714
94,-277.62710712772525
95,-1123.4253195275887
96,-862.5211562180723
97,-1494.0407521168809
98,-1661.5005138836898
99,-1322.4366486588729
100,-1308.5978562440644
101,-1907.9182354080242
102,-1718.185162352419
103,-1692.3570225479855
104,-1878.790457571318
105,-2758.969303451863
106,-2363.758629192367
