Linear Regression,Non-Linear Regression 1,Non-Linear Regression 2
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2997.8474050834466,-3110.4183197021484,-3449.5521340573396
-2756.077349955387,-2796.792984008789,-3192.230685615751
-2877.9753941477684,-3064.2127990722656,-3303.0402678735504
-2880.4165282723084,-3175.9214401245117,-3237.0556070657367
-2206.9224210867637,-2219.524383544922,-2518.0408407173327
-1828.2844209162304,-1537.2347831726074,-2151.828093280579
-1757.6622177423003,-1415.6341552734375,-2100.7310337283657
-1915.36719780386,-1626.1768341064453,-2313.2310291034955
-3015.1393899211344,-3217.148780822754,-3421.7701696876875
-2429.3254108853193,-2397.2368240356445,-2759.0891454502844
-2887.8974563172505,-3231.7113876342773,-3181.734066362502
-3991.1052858470443,-4489.395618438721,-4312.681463713485
-3468.139837121344,-4042.7112579345703,-3829.283812880007
-3004.8949899514337,-3537.755012512207,-3367.507464640696
-3336.6254336758,-3814.0225410461426,-3687.847723338486
-3347.529684188663,-3845.1290130615234,-3688.3993888078257
-2309.910861039569,-2624.495029449463,-2742.5712615801176
-2523.5345904838255,-2840.867042541504,-3022.9402445656224
-2226.3830386118407,-2432.9280853271484,-2681.9716631629517
-2260.0591929336388,-2503.523826599121,-2730.6618298059866
-2284.827400975445,-2505.154609680176,-2764.2120252232016
-2158.009850570291,-2201.664447784424,-2625.57691052587
-2634.08741195921,-2780.628204345703,-3146.602642512375
-2751.3062795508276,-3022.613525390625,-3280.8197776574907
-3414.5068872808934,-3875.155448913574,-3929.6099897645363
-3067.5945910603077,-3478.2814979553223,-3557.5204361040555
-3335.971733363016,-3774.232864379883,-3865.436871158488
